100, 0.059, 0.058
500, 0.188, 0.314
1000, 0.355, 0.899
2000, 0.70, 2.953
3000, 1.019, 6.042
4000, 1.405, 11.064
5000, 1.746, 17.350
6000, 2.053, 26.540
7000, 2.382, 41.889
8000, 2.766, 44.817
9000, 3.127, 48.890
10000, 3.362, 62.003
20000, 6.923, 274.083
